title,description,address,city,price,bedrooms,bathrooms,square_feet,property_type,availability_status,parking_available,pets_allowed,furnished,utilities_included,laundry,gym,pool,balcony,air_conditioning,heating,internet_included,photo_filenames
"Budget Studio","Affordable studio perfect for students or young professionals. Basic amenities but great location near public transport.","100 Budget Lane","Detroit",800.00,0,1.0,400,studio,0,false,false,false,false,true,false,false,false,false,true,false,"budget1.jpg"
"Mid-Range Apartment","Comfortable 2-bedroom apartment with standard amenities. Good value for money in a safe neighborhood.","200 Middle Road","Kansas City",1500.00,2,2.0,900,apartment,0,true,true,false,true,true,false,false,true,true,true,true,"mid1_living.jpg,mid1_bedroom.jpg"
"Premium Condo","High-end condo with luxury finishes and full amenities. Concierge service and valet parking available.","300 Luxury Boulevard","Beverly Hills",5000.00,2,2.5,1500,condo,0,true,false,true,true,true,true,true,true,true,true,true,"premium1_view.jpg,premium1_kitchen.jpg,premium1_bath.jpg"
"Starter Home","Perfect first home for new families. 3 bedrooms with potential for expansion. Quiet suburban street.","400 Starter Street","Omaha",1600.00,3,2.0,1400,house,0,true,true,false,false,true,false,false,false,true,true,false,"starter1_front.jpg,starter1_yard.jpg"
"Executive Townhouse","Upscale townhouse in gated community. Premium location with golf course views and country club access.","500 Executive Drive","Scottsdale",4500.00,4,3.5,2500,townhouse,0,true,false,true,true,true,true,true,true,true,true,true,"exec1_front.jpg,exec1_golf.jpg,exec1_interior.jpg"
"Artist Studio Loft","Creative space with high ceilings and excellent natural light. Perfect for artists, photographers, or designers.","600 Creative Circle","Portland",1700.00,1,1.0,800,loft,0,false,true,false,false,true,false,false,false,true,true,true,"artist2_space.jpg,artist2_light.jpg"
"Retirement Condo","Single-level condo perfect for seniors. Elevator access, grab bars installed, and close to medical facilities.","700 Golden Years Way","Tucson",1300.00,2,2.0,1100,condo,0,true,false,false,true,true,false,false,true,true,true,true,"retire1_living.jpg,retire1_accessible.jpg"
"Vacation Rental","Seasonal rental near ski slopes. Fully furnished with fireplace and mountain views. Available winter months only.","800 Ski Lodge Road","Vail",6000.00,3,2.0,1600,house,0,true,true,true,true,true,false,false,true,true,true,true,"ski1_exterior.jpg,ski1_fireplace.jpg,ski1_view.jpg"
"Corporate Housing","Furnished apartment for business travelers and relocating executives. All utilities and internet included.","900 Business Plaza","Houston",3000.00,1,1.0,700,apartment,0,true,false,true,true,true,true,false,false,true,true,true,"corp1_desk.jpg,corp1_living.jpg"
"Student Housing","Shared house perfect for college students. 5 bedrooms, common areas, and study spaces. Near campus shuttle.","1000 University Circle","Ann Arbor",2500.00,5,3.0,2400,house,0,true,false,false,true,true,false,false,false,true,true,true,"student1_common.jpg,student1_study.jpg,student1_bedrooms.jpg"
