title,description,address,city,price,bedrooms,bathrooms,square_feet,property_type,availability_status,parking_available,pets_allowed,furnished,utilities_included,laundry,gym,pool,balcony,air_conditioning,heating,internet_included,photo_filenames
"Modern Downtown Apartment","Stunning 2-bedroom apartment in the heart of downtown with floor-to-ceiling windows and city views. Walking distance to restaurants, shopping, and public transportation.","123 Main Street, Unit 4B","San Francisco",2800.00,2,2.0,1200,apartment,available,true,false,false,true,true,false,false,true,true,true,true,"apt1_living.jpg,apt1_kitchen.jpg,apt1_bedroom.jpg"
"Cozy Studio Loft","Charming studio loft with exposed brick walls and high ceilings. Perfect for young professionals or students. Located in trendy arts district.","456 Arts Avenue, Loft 2","Portland",1400.00,0,1.0,650,studio,available,false,true,true,false,true,false,false,false,true,true,true,"studio1_main.jpg,studio1_kitchen.jpg"
"Family House with Garden","Spacious 3-bedroom house with large backyard and garden. Great for families with children. Quiet residential neighborhood with excellent schools nearby.","789 Oak Street","Austin",2200.00,3,2.5,1800,house,0,true,true,false,false,true,false,false,false,true,true,false,"house1_front.jpg,house1_garden.jpg,house1_kitchen.jpg,house1_bedroom.jpg"
"Luxury Condo with Amenities","High-end 2-bedroom condo in premium building with concierge, gym, and rooftop pool. Stunning views and modern finishes throughout.","321 Skyline Drive, Unit 15A","Miami",3500.00,2,2.0,1400,condo,0,true,false,true,true,true,true,true,true,true,true,true,"condo1_living.jpg,condo1_view.jpg,condo1_kitchen.jpg"
"Charming Townhouse","Beautiful 3-bedroom townhouse with private patio and garage. Recently renovated with modern appliances and hardwood floors.","654 Maple Lane","Seattle",2600.00,3,2.5,1600,townhouse,0,true,false,false,true,true,false,false,true,true,true,true,"town1_front.jpg,town1_patio.jpg,town1_interior.jpg"
"Urban Loft Space","Industrial-style loft with open floor plan and exposed beams. Perfect for creative professionals. Located in converted warehouse district.","987 Industrial Way, Unit 3","Chicago",1900.00,1,1.0,1000,loft,0,false,true,false,false,true,false,false,false,true,true,true,"loft1_main.jpg,loft1_workspace.jpg"
"Suburban Family Home","Comfortable 4-bedroom house in family-friendly suburb. Large kitchen, finished basement, and two-car garage. Near parks and schools.","147 Elm Street","Denver",2400.00,4,3.0,2200,house,0,true,true,false,false,true,false,false,false,true,true,false,"house2_front.jpg,house2_kitchen.jpg,house2_basement.jpg"
"Beachside Apartment","Bright 1-bedroom apartment just two blocks from the beach. Ocean views from living room and bedroom. Perfect for beach lovers.","258 Ocean Boulevard, Apt 7","San Diego",2100.00,1,1.0,800,apartment,0,false,false,true,true,false,false,false,true,true,true,true,"beach1_view.jpg,beach1_living.jpg,beach1_bedroom.jpg"
"Pet-Friendly Duplex","Spacious duplex with fenced yard, perfect for pet owners. 2 bedrooms upstairs, living areas downstairs. Quiet neighborhood.","369 Pine Street, Unit A","Nashville",1800.00,2,1.5,1300,house,0,true,true,false,false,true,false,false,false,true,true,false,"duplex1_front.jpg,duplex1_yard.jpg,duplex1_interior.jpg"
"Downtown Studio","Efficient studio apartment in vibrant downtown area. Walking distance to work, entertainment, and dining. Perfect for urban lifestyle.","741 City Center Drive, Unit 12","Atlanta",1300.00,0,1.0,500,studio,0,false,false,false,true,true,true,false,false,true,true,true,"studio2_main.jpg,studio2_kitchen.jpg"
"Executive Penthouse","Luxury 3-bedroom penthouse with panoramic city views. Private elevator access, marble countertops, and premium appliances throughout.","555 Elite Tower, Penthouse","New York",8500.00,3,3.5,2800,condo,0,true,false,true,true,true,true,true,true,true,true,true,"penthouse1_view.jpg,penthouse1_living.jpg,penthouse1_kitchen.jpg,penthouse1_master.jpg"
"Vintage Brownstone","Historic 4-bedroom brownstone with original hardwood floors and period details. Recently updated kitchen and bathrooms.","892 Heritage Street","Boston",4200.00,4,3.0,2400,townhouse,0,true,true,false,false,true,false,false,true,true,true,false,"brownstone1_front.jpg,brownstone1_staircase.jpg,brownstone1_kitchen.jpg"
"Garden Apartment","Ground-floor 2-bedroom apartment with private garden access. Perfect for those who love outdoor space and gardening.","123 Garden Court, Unit 1","Sacramento",1750.00,2,2.0,1100,apartment,0,true,true,false,true,true,false,false,true,true,true,true,"garden1_patio.jpg,garden1_living.jpg,garden1_bedroom.jpg"
"Modern Tiny House","Eco-friendly tiny house with solar panels and composting toilet. Minimalist living at its finest. Perfect for environmentally conscious renters.","456 Green Valley Road","Boulder",1100.00,1,1.0,400,house,0,true,false,true,false,false,false,false,false,false,true,true,"tiny1_exterior.jpg,tiny1_interior.jpg,tiny1_loft.jpg"
"Waterfront Condo","Stunning 2-bedroom condo with direct water views. Private balcony overlooking the marina. Resort-style amenities included.","789 Marina Drive, Unit 8B","Tampa",3200.00,2,2.0,1300,condo,0,true,false,true,true,true,true,true,true,true,true,true,"water1_view.jpg,water1_balcony.jpg,water1_living.jpg"
"Artist Loft","Spacious artist loft with 20-foot ceilings and north-facing windows. Perfect natural light for creative work. Industrial neighborhood.","321 Canvas Street, Studio 5","Philadelphia",1600.00,1,1.0,1200,loft,0,false,true,false,false,true,false,false,false,true,true,true,"artist1_space.jpg,artist1_windows.jpg,artist1_corner.jpg"
"Suburban Ranch","Single-story 3-bedroom ranch home with large backyard and attached garage. Great for families or those preferring single-level living.","654 Ranch Road","Phoenix",2000.00,3,2.0,1700,house,0,true,true,false,false,true,false,false,false,true,true,false,"ranch1_front.jpg,ranch1_backyard.jpg,ranch1_living.jpg"
"Historic Apartment","Charming 1-bedroom in restored historic building. Original architectural details with modern conveniences. Downtown location.","987 Historic Plaza, Apt 3A","Savannah",1500.00,1,1.0,750,apartment,0,false,false,false,true,true,false,false,true,true,true,true,"historic1_facade.jpg,historic1_details.jpg,historic1_bedroom.jpg"
"Luxury Studio","High-end studio with murphy bed and premium finishes. Building amenities include doorman, gym, and rooftop terrace.","147 Luxury Lane, Unit 9F","Los Angeles",2200.00,0,1.0,650,studio,0,true,false,true,true,true,true,true,false,true,true,true,"luxury1_murphy.jpg,luxury1_kitchen.jpg,luxury1_bathroom.jpg"
"College Rental","Perfect for students! 4-bedroom house near campus with study areas and high-speed internet. Each bedroom has its own desk space.","258 University Avenue","Madison",2800.00,4,2.0,2000,house,0,true,false,false,true,true,false,false,false,true,true,true,"college1_front.jpg,college1_study.jpg,college1_bedrooms.jpg"
